school_id,school_name_minkou,address_minkou,gaccom_id,school_name_gaccom,address_gaccom,addr_score,name_score,match_score
31743,今井小学校,神奈川県 川崎市中原区 今井西町１００ ここに地図が表示されます 地図を見る 地図を閉じる,7516,川崎市立今井小学校,神奈川県川崎市中原区今井西町3-18,0.762,1.0,0.833
31535,【閉校】俣野小学校,神奈川県 横浜市戸塚区 俣野町３７１ ここに地図が表示されます 地図を見る 地図を閉じる,7427,横浜市立東俣野小学校,神奈川県横浜市戸塚区東俣野町１１０３-１,0.727,0.444,0.642
31585,緑小学校,神奈川県 横浜市緑区 鴨居５－１９－１ ここに地図が表示されます 地図を見る 地図を閉じる,7347,横浜市立緑小学校,神奈川県横浜市緑区鴨居５丁目１９番１号,0.762,1.0,0.833
31635,和泉小学校,神奈川県 横浜市泉区 和泉町４３２０ ここに地図が表示されます 地図を見る 地図を閉じる,7455,横浜市立下和泉小学校,神奈川県横浜市泉区和泉町１４３６番地,0.737,0.8,0.756
31758,南原小学校,神奈川県 川崎市高津区 上作延７９６ ここに地図が表示されます 地図を見る 地図を閉じる,7538,川崎市立南原小学校,神奈川県川崎市高津区上作延3丁目9番1号,0.667,1.0,0.767
31953,今泉小学校,神奈川県 鎌倉市 今泉２－１３－１ ここに地図が表示されます 地図を見る 地図を閉じる,7716,鎌倉市立今泉小学校,神奈川県鎌倉市今泉２丁目１３番１号,0.706,1.0,0.794
31965,稲村ヶ崎小学校,神奈川県 鎌倉市 極楽寺３－２－３ ここに地図が表示されます 地図を見る 地図を閉じる,7709,鎌倉市立稲村ケ崎小学校,神奈川県鎌倉市極楽寺３丁目２番３号,0.706,0.75,0.719
31983,本町小学校,神奈川県 藤沢市 本町２－６－１７ ここに地図が表示されます 地図を見る 地図を閉じる,7725,藤沢市立本町小学校,神奈川県藤沢市本町２丁目６番１７号,0.706,1.0,0.794
28239,小野小学校,群馬県 富岡市 相野田７２６ ここに地図が表示されます 地図を見る 地図を閉じる,12777,富岡市立小野小学校,群馬県富岡市相野田７１１－２,0.714,1.0,0.8
28048,東小学校,群馬県 前橋市 箱田町１６４５ ここに地図が表示されます 地図を見る 地図を閉じる,12440,前橋市立東小学校,群馬県前橋市箱田町１４５２-１,0.75,1.0,0.825
28291,【閉校】西小学校,群馬県 吾妻郡嬬恋村 大前甲８０５ ここに地図が表示されます 地図を見る 地図を閉じる,86023,嬬恋村立西部小学校,群馬県吾妻郡嬬恋村大字大前８０５番地１,0.762,0.286,0.619
89903,フェリーチェ玉村国際小学校,群馬県 佐波郡玉村町 飯塚３２８ ここに地図が表示されます 地図を見る 地図を閉じる,99983,フェリーチェ玉村国際小学校,群馬県佐波郡玉村町飯塚345,0.75,1.0,0.825
28041,城南小学校,群馬県 前橋市 六供町３８１ ここに地図が表示されます 地図を見る 地図を閉じる,12426,前橋市立城南小学校,群馬県前橋市六供町１-１３-２,0.533,1.0,0.673
28050,元総社小学校,群馬県 前橋市 元総社町２４０６ ここに地図が表示されます 地図を見る 地図を閉じる,12457,前橋市立元総社南小学校,群馬県前橋市元総社町８０番地２,0.625,0.857,0.695
28069,東小学校,群馬県 高崎市 弓町１２１－１ ここに地図が表示されます 地図を見る 地図を閉じる,12509,高崎市立城東小学校,群馬県高崎市江木町１２８-１,0.667,0.667,0.667
28128,東小学校,群馬県 桐生市 仲町２－４－２１ ここに地図が表示されます 地図を見る 地図を閉じる,12584,桐生市立東小学校,群馬県桐生市仲町２丁目４番２１号,0.706,1.0,0.794
28122,南小学校,群馬県 桐生市 新宿２－７－１ ここに地図が表示されます 地図を見る 地図を閉じる,12587,桐生市立南小学校,群馬県桐生市新宿２丁目７番１号,0.667,1.0,0.767
28168,太田東小学校,群馬県 太田市 東本町５３－３０ ここに地図が表示されます 地図を見る 地図を閉じる,12648,太田市立太田小学校,群馬県太田市本町３１-１,0.571,0.8,0.64
28010,群馬大学教育学部附属小学校,群馬県 前橋市 若宮町２－８－１ ここに地図が表示されます 地図を見る 地図を閉じる,12474,群馬大学共同教育学部附属小学校,群馬県前橋市若宮町２丁目８-１,0.824,0.909,0.849
27300,【閉校】戸頭西小学校,茨城県 取手市 戸頭８－１０－１ ここに地図が表示されます 地図を見る 地図を閉じる,86018,取手市立戸頭小学校,茨城県取手市戸頭3-21-1,0.75,0.444,0.658
27180,南小学校,茨城県 石岡市 南台４－１－１ ここに地図が表示されます 地図を見る 地図を閉じる,13812,石岡市立南小学校,茨城県石岡市南台四丁目１番１号,0.533,1.0,0.673
